0 0 0 -3.639 0.418 -0.670 1.779 -0.168 1.627 -0.388 0.529 -0.874 -0.814  0
0 0 0 -3.327 0.496 -0.694 1.365 -0.265 1.933 -0.363 0.510 -0.621 -0.488  1
0 0 0 -2.120 0.894 -1.576 0.147 -0.707 1.559 -0.579 0.676 -0.809 -0.049  2
0 0 0 -2.287 1.809 -1.498 1.012 -1.053 1.060 -0.567 0.235 -0.091 -0.795  3
0 0 0 -2.598 1.938 -0.846 1.062 -1.633 0.764 0.394 -0.150 0.277 -0.396  4
0 0 0 -2.852 1.914 -0.755 0.825 -1.588 0.855 0.217 -0.246 0.238 -0.365  5
0 0 0 -3.482 2.524 -0.433 1.048 -1.995 0.902 0.322 0.450 0.377 -0.366  6
0 0 0 -3.941 2.305 0.124 1.771 -1.815 0.593 -0.435 0.992 0.575 -0.301  7
0 0 0 -3.860 2.116 -0.939 0.688 -0.675 1.679 -0.512 0.928 -0.167 -0.434  8
0 0 0 -3.648 1.812 -1.378 1.578 0.065 1.577 -0.466 0.702 0.060 -0.836  9
0 0 0 -3.032 1.739 -1.141 0.737 -0.834 1.386 -0.575 0.679 -0.018 -0.823 10
0 0 0 -3.653 0.373 -0.600 1.705 -0.222 1.765 -0.353 0.537 -0.797 -0.813  0
0 0 0 -3.237 0.436 -0.860 1.363 -0.251 1.915 -0.395 0.751 -0.774 -0.327  1
0 0 0 -2.135 0.954 -1.632 0.121 -0.704 1.600 -0.628 0.713 -0.903 -0.027  2
0 0 0 -2.304 1.784 -1.506 0.981 -0.961 0.806 -0.294 -0.002 0.119 -0.760  3
0 0 0 -2.540 2.144 -1.024 0.933 -1.567 1.024 0.188 -0.047 0.309 -0.633  4
0 0 0 -2.826 2.003 -0.738 0.801 -1.669 0.939 0.245 -0.257 0.256 -0.458  5
0 0 0 -3.582 2.374 -0.358 1.162 -1.953 0.621 0.339 0.355 0.415 -0.259  6
